gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
6011109184	6dce0193-6341-4eda-adcf-9d3ff9c857b0	5bc6e370-2bd9-4a5b-b86e-9af9c2ea0e91	Plantae	Bryophyta	Bryopsida	Funariales	Funariaceae	Physcomitrium	Physcomitrium patens		SPECIES	Physcomitrium patens (Hedw.) Mitt.	Physcomitrium patens	(Hedw.) Mitt.	GB	Damflask Reservoir	England	PRESENT		32f1b389-5871-4da3-832f-9a89132520c5	53.410601	-1.587768	707.1						2001-09-05	5	9	2001	8179907	8179907	HUMAN_OBSERVATION		643					CC_BY_4_0	British Bryological Society	Lake,  H.			2026-04-14T08:30:14.516Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND;TAXON_CONCEPT_ID_NOT_FOUND
6011105050	6dce0193-6341-4eda-adcf-9d3ff9c857b0	901e4935-4cab-43e8-a93a-3864cd6adc05	Plantae	Bryophyta	Bryopsida	Funariales	Funariaceae	Physcomitrium	Physcomitrium patens		SPECIES	Physcomitrium patens (Hedw.) Mitt.	Physcomitrium patens	(Hedw.) Mitt.	GB		England	PRESENT		32f1b389-5871-4da3-832f-9a89132520c5	53.802634	-0.559007	7071.1										8179907	8179907	HUMAN_OBSERVATION		8					CC_BY_4_0	British Bryological Society			native	2026-04-14T08:30:20.554Z		CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_MISMATCH;TAXON_ID_NOT_FOUND;TAXON_CONCEPT_ID_NOT_FOUND
6011100852	6dce0193-6341-4eda-adcf-9d3ff9c857b0	5fc0517a-3d57-4be3-b554-97b4e39bb1a4	Plantae	Bryophyta	Bryopsida	Funariales	Funariaceae	Physcomitrium	Physcomitrium patens		SPECIES	Physcomitrium patens (Hedw.) Mitt.	Physcomitrium patens	(Hedw.) Mitt.	GB	Saddington Reservoir	England	PRESENT		32f1b389-5871-4da3-832f-9a89132520c5	52.517336	-1.021435	707.1						2002-10-08	8	10	2002	8179907	8179907	HUMAN_OBSERVATION		771					CC_BY_4_0	British Bryological Society	Hodgetts,  N.G.			2026-04-14T08:30:48.490Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND;TAXON_ID_NOT_FOUND
6011090083	6dce0193-6341-4eda-adcf-9d3ff9c857b0	8c987be6-b2b4-45d0-9bee-33083c47c27c	Plantae	Bryophyta	Bryopsida	Funariales	Funariaceae	Physcomitrium	Physcomitrium patens		SPECIES	Physcomitrium patens (Hedw.) Mitt.	Physcomitrium patens	(Hedw.) Mitt.	GB	College Reservoir	England	PRESENT		32f1b389-5871-4da3-832f-9a89132520c5	50.159319	-5.130471	707.1						2001-11-06	6	11	2001	8179907	8179907	HUMAN_OBSERVATION		656					CC_BY_4_0	British Bryological Society	Holyoak,  D.T.			2026-04-14T08:31:26.345Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND;TAXON_ID_NOT_FOUND
6011082589	6dce0193-6341-4eda-adcf-9d3ff9c857b0	32ef9de7-4d9e-4d37-88be-70c7674dbdcb	Plantae	Bryophyta	Bryopsida	Funariales	Funariaceae	Physcomitrium	Physcomitrium patens		SPECIES	Physcomitrium patens (Hedw.) Mitt.	Physcomitrium patens	(Hedw.) Mitt.	GB	Volehouse Moor Nature Reserve: approach track only	England	PRESENT		32f1b389-5871-4da3-832f-9a89132520c5	50.923578	-4.384603	707.1						1999-07-27	27	7	1999	8179907	8179907	HUMAN_OBSERVATION		596					CC_BY_4_0	British Bryological Society	Pool,  M.			2026-04-14T08:30:06.965Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND;TAXON_CONCEPT_ID_NOT_FOUND
6011074603	6dce0193-6341-4eda-adcf-9d3ff9c857b0	c2ddd14e-ed9f-49f2-8bfe-6807467290c3	Plantae	Bryophyta	Bryopsida	Funariales	Funariaceae	Physcomitrium	Physcomitrium patens		SPECIES	Physcomitrium patens (Hedw.) Mitt.	Physcomitrium patens	(Hedw.) Mitt.	GB	Goathurst	England	PRESENT		32f1b389-5871-4da3-832f-9a89132520c5	51.095948	-3.065268	707.1						2019-09-15	15	9	2019	8179907	8179907	HUMAN_OBSERVATION		1193					CC_BY_4_0	British Bryological Society	Branson,  A.J.P.; Pilkington,  S.L.			2026-04-14T08:31:32.172Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND;TAXON_ID_NOT_FOUND
6011073762	6dce0193-6341-4eda-adcf-9d3ff9c857b0	1de8f19f-1881-4290-96f9-22595c1680d1	Plantae	Bryophyta	Bryopsida	Funariales	Funariaceae	Physcomitrium	Physcomitrium patens		SPECIES	Physcomitrium patens (Hedw.) Mitt.	Physcomitrium patens	(Hedw.) Mitt.	GB	Kineton area	England	PRESENT		32f1b389-5871-4da3-832f-9a89132520c5	52.192135	-1.489408	7071.1										8179907	8179907	HUMAN_OBSERVATION		8					CC_BY_4_0	British Bryological Society	Laflin,  T.		native	2026-04-14T08:30:01.182Z		CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_MISMATCH;TAXON_ID_NOT_FOUND;TAXON_CONCEPT_ID_NOT_FOUND
6011070163	6dce0193-6341-4eda-adcf-9d3ff9c857b0	c6dd2006-f38a-494c-92a7-111603d9a9b2	Plantae	Bryophyta	Bryopsida	Funariales	Funariaceae	Physcomitrium	Physcomitrium patens		SPECIES	Physcomitrium patens (Hedw.) Mitt.	Physcomitrium patens	(Hedw.) Mitt.	GB	Rutland Water	England	PRESENT		32f1b389-5871-4da3-832f-9a89132520c5	52.666999	-0.692768	707.1						2015-09-26	26	9	2015	8179907	8179907	HUMAN_OBSERVATION		1122					CC_BY_4_0	British Bryological Society	Hamzaoui,  U.			2026-04-14T08:31:00.065Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND;TAXON_ID_NOT_FOUND
6011066584	6dce0193-6341-4eda-adcf-9d3ff9c857b0	3038f943-f91f-4dcc-87ab-22cfa84f7d10	Plantae	Bryophyta	Bryopsida	Funariales	Funariaceae	Physcomitrium	Physcomitrium patens		SPECIES	Physcomitrium patens (Hedw.) Mitt.	Physcomitrium patens	(Hedw.) Mitt.	GB	Ynys Uchaf SSSI	Wales	PRESENT		32f1b389-5871-4da3-832f-9a89132520c5	51.813641	-4.191201	70.7						2010-08-18	18	8	2010	8179907	8179907	HUMAN_OBSERVATION		772					CC_BY_4_0	British Bryological Society	Bosanquet,  S.D.S.			2026-04-14T08:29:18.730Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND;TAXON_CONCEPT_ID_NOT_FOUND
6011059549	6dce0193-6341-4eda-adcf-9d3ff9c857b0	a0c0c3bd-c2c2-46d9-b48e-7f7eb244195f	Plantae	Bryophyta	Bryopsida	Funariales	Funariaceae	Physcomitrium	Physcomitrium patens		SPECIES	Physcomitrium patens (Hedw.) Mitt.	Physcomitrium patens	(Hedw.) Mitt.	GB	Dale Brook and Bladon, Winshill	England	PRESENT		32f1b389-5871-4da3-832f-9a89132520c5	52.817392	-1.608238	707.1						2016-09-14	14	9	2016	8179907	8179907	HUMAN_OBSERVATION		1193					CC_BY_4_0	British Bryological Society	Blockeel,  T.L.			2026-04-14T08:30:57.465Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND;TAXON_ID_NOT_FOUND
6011052324	6dce0193-6341-4eda-adcf-9d3ff9c857b0	d0ddf979-06c6-4f48-b7d8-a2e2dd3c92cb	Plantae	Bryophyta	Bryopsida	Funariales	Funariaceae	Physcomitrium	Physcomitrium patens		SPECIES	Physcomitrium patens (Hedw.) Mitt.	Physcomitrium patens	(Hedw.) Mitt.	GB	Biggin East	England	PRESENT		32f1b389-5871-4da3-832f-9a89132520c5	53.03313	-1.606287	707.1						2004-01-25	25	1	2004	8179907	8179907	HUMAN_OBSERVATION		643					CC_BY_4_0	British Bryological Society	Blockeel,  T.L.			2026-04-14T08:29:49.742Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND;TAXON_CONCEPT_ID_NOT_FOUND
6011050881	6dce0193-6341-4eda-adcf-9d3ff9c857b0	070b58bc-aa00-4d38-a9f3-26f4f817356a	Plantae	Bryophyta	Bryopsida	Funariales	Funariaceae	Physcomitrium	Physcomitrium patens		SPECIES	Physcomitrium patens (Hedw.) Mitt.	Physcomitrium patens	(Hedw.) Mitt.	GB	Chew Valley Lake	England	PRESENT		32f1b389-5871-4da3-832f-9a89132520c5	51.348154	-2.610117	7.1						2014-10-05	5	10	2014	8179907	8179907	HUMAN_OBSERVATION		1027					CC_BY_4_0	British Bryological Society	Branson,  A.J.P.; Pilkington,  S.L.			2026-04-14T08:29:59.143Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND;TAXON_CONCEPT_ID_NOT_FOUND
6011047827	6dce0193-6341-4eda-adcf-9d3ff9c857b0	4dbab2ca-8aa3-43fb-81b0-59f2ddd13d58	Plantae	Bryophyta	Bryopsida	Funariales	Funariaceae	Physcomitrium	Physcomitrium patens		SPECIES	Physcomitrium patens (Hedw.) Mitt.	Physcomitrium patens	(Hedw.) Mitt.	GB	Brandon+Lakenheath+Wangford	England	PRESENT		32f1b389-5871-4da3-832f-9a89132520c5	52.434958	0.572884	7071.1										8179907	8179907	HUMAN_OBSERVATION		8					CC_BY_4_0	British Bryological Society			native	2026-04-14T08:30:46.026Z		CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_INVALID;TAXON_CONCEPT_ID_NOT_FOUND;TAXON_ID_NOT_FOUND
6011046327	6dce0193-6341-4eda-adcf-9d3ff9c857b0	178bb841-149b-4de6-bf05-9ce27784d593	Plantae	Bryophyta	Bryopsida	Funariales	Funariaceae	Physcomitrium	Physcomitrium patens		SPECIES	Physcomitrium patens (Hedw.) Mitt.	Physcomitrium patens	(Hedw.) Mitt.	GB		England	PRESENT		32f1b389-5871-4da3-832f-9a89132520c5	51.814827	0.102124	7071.1										8179907	8179907	HUMAN_OBSERVATION		8					CC_BY_4_0	British Bryological Society			native	2026-04-14T08:31:41.376Z		CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_MISMATCH;TAXON_CONCEPT_ID_NOT_FOUND;TAXON_ID_NOT_FOUND
